"repo_name","pr_closed_decred","pr_closed_other","pr_closed_internal","pr_merged_decred","pr_merged_internal","pr_merged_other","pr_commits","pr_additions","pr_deletions","forked","pushes","firstevent","lastevent","duration","durationdays","dcr_pr_merged","dcr_pr_commits","dcr_pr_additions","dcr_pr_deletions"
"jrick/RFPs",0,0,0,0,0,0,0,0,0,1,12,"2016-02-15 23:05:05 UTC","2016-02-16 01:52:18 UTC",10033,0.23224537037037,0,2,164,0
"jolan/haste",0,0,0,0,0,0,0,0,0,1,28,"2016-08-01 16:46:21 UTC","2016-08-10 18:27:42 UTC",783681,18.1407638888889,2,4,824,50
"ByronAP/dcrd",0,0,0,0,0,0,0,0,0,1,1,"2016-02-12 14:27:36 UTC","2016-03-06 00:12:54 UTC",1935918,44.8129166666667,NA,NA,NA,NA
"wolf9466/cgminer",0,0,0,0,0,0,0,0,0,1,1,"2016-01-28 05:47:46 UTC","2016-02-10 05:21:06 UTC",1121600,25.962962962963,0,2,52,58
"jcvernaleo/dcrdocs",0,0,0,0,0,0,0,0,0,0,18,"2016-05-13 13:19:57 UTC","2017-07-20 20:28:23 UTC",37436906,866.595046296296,32,66,16466,86271
"alexlyp/dcrstakepool",0,0,0,0,0,0,0,0,0,0,6,"2016-11-10 16:05:33 UTC","2016-11-11 16:38:20 UTC",88367,2.04553240740741,1,15,972,139
"underscoreingsoc/dcrdocs",0,0,0,0,0,0,0,0,0,0,4,"2016-05-13 13:26:11 UTC","2017-06-19 16:10:15 UTC",34742644,804.22787037037,1,4,78,24
"SG-O/dcrd",0,0,0,0,0,0,0,0,0,0,3,"2016-02-25 02:04:04 UTC","2016-02-25 16:43:27 UTC",52763,1.22136574074074,1,2,2,2
"jolan/RFPs",0,0,0,0,0,0,0,0,0,0,9,"2016-02-26 15:59:46 UTC","2016-02-26 20:15:52 UTC",15366,0.355694444444444,1,11,228,0
"jolan/dcrd",0,0,0,0,0,0,0,0,0,0,29,"2016-04-20 14:56:13 UTC","2017-12-16 15:55:10 UTC",52279137,1210.16520833333,26,52,222,130
"dajohi/RFPs",0,0,0,0,0,0,0,0,0,0,3,"2016-03-23 18:47:43 UTC","2016-03-23 19:50:43 UTC",3780,0.0875,2,4,128,2
"raedah/dcrd",0,0,0,0,0,0,0,0,0,0,1,"2016-05-01 16:46:51 UTC","2016-05-01 16:46:51 UTC",0,0,1,2,6,4
"Kefkius/dcrd",0,0,0,0,0,0,0,0,0,0,2,"2016-02-09 17:00:23 UTC","2016-06-09 17:04:17 UTC",10451034,241.922083333333,1,4,2,98
"Reiuiji/dcrd",0,0,0,0,0,0,0,0,0,0,6,"2016-04-11 04:07:07 UTC","2016-04-13 18:23:14 UTC",224167,5.18905092592593,1,7,33,0
"alexlyp/RFPs",0,0,0,0,0,0,0,0,0,0,6,"2016-06-09 18:55:41 UTC","2016-06-23 13:29:22 UTC",1190021,27.5467824074074,4,9,226,6
"alexlyp/dcrd",0,0,0,0,0,0,0,0,0,0,125,"2016-02-11 15:38:11 UTC","2018-05-03 18:36:46 UTC",70163915,1624.16469907407,44,281,6430,4012
"chappjc/dcrd",1,0,0,1,0,0,150,14860,8378,0,30,"2016-05-27 23:48:50 UTC","2018-12-08 00:50:56 UTC",79840926,1848.16958333333,10,32,444,68
"gdapps/copay",0,0,0,0,0,0,0,0,0,0,2,"2016-03-08 19:02:47 UTC","2016-03-08 23:38:28 UTC",16541,0.382893518518518,NA,NA,NA,NA
"jolan/dcrweb",0,0,0,0,0,0,0,0,0,0,91,"2016-06-13 13:44:48 UTC","2017-10-10 16:47:48 UTC",41828580,968.254166666667,38,78,1863,1500
"jzbz/insight",0,0,0,0,0,0,0,0,0,0,1,"2016-02-21 21:36:08 UTC","2016-02-22 13:40:06 UTC",57838,1.33884259259259,1,2,2,2
"alexlyp/copay",0,0,0,0,0,0,0,0,0,0,23,"2016-02-23 22:29:33 UTC","2017-02-22 20:39:51 UTC",31529418,729.847638888889,8,3328,16699,8303
"jolan/ccminer",0,0,0,0,0,0,0,0,0,0,6,"2016-04-25 21:48:16 UTC","2016-07-28 18:14:49 UTC",8108793,187.703541666667,4,146,20444,5232
"jolan/cgminer",0,0,0,0,0,0,0,0,0,0,3,"2016-04-26 22:06:29 UTC","2016-04-27 14:31:11 UTC",59082,1.36763888888889,1,5,171,0
"jolan/dcrdocs",0,0,0,0,0,0,0,0,0,0,12,"2016-05-13 17:36:29 UTC","2017-08-18 19:56:48 UTC",39925219,924.194884259259,5,11,6156,5063
"jolan/gominer",0,0,0,0,0,0,0,0,0,0,196,"2016-06-14 16:02:20 UTC","2017-04-24 14:32:10 UTC",27124190,627.874768518519,25,94,24225,1147
"jrick/dcrdocs",0,0,0,0,0,0,0,0,0,0,1,"2016-08-15 14:25:13 UTC","2016-08-15 15:06:50 UTC",2497,0.0578009259259259,1,2,176,48
"jrick/gominer",0,0,0,0,0,0,0,0,0,0,35,"2016-09-07 21:48:38 UTC","2016-09-17 12:22:42 UTC",830044,19.2139814814815,1,2,2,2
"5qu4r3/bitcore",0,0,0,0,0,0,0,0,0,0,2,"2016-03-27 18:26:58 UTC","2016-03-28 07:41:19 UTC",47661,1.10326388888889,NA,NA,NA,NA
"5qu4r3/insight",0,0,0,0,0,0,0,0,0,0,5,"2016-03-26 12:04:20 UTC","2016-03-28 07:39:44 UTC",153324,3.54916666666667,NA,NA,NA,NA
"Dyrk/dcrwallet",0,0,0,0,0,0,0,0,0,0,7,"2016-11-24 18:20:06 UTC","2017-06-06 09:46:28 UTC",16727182,387.203287037037,NA,NA,NA,NA
"Fsig/decredweb",0,0,0,0,0,0,0,0,0,0,4,"2016-05-06 14:43:40 UTC","2016-05-07 02:31:28 UTC",42468,0.983055555555556,1,7,2564,39890
"colt05/insight",0,0,0,0,0,0,0,0,0,0,1,"2016-03-05 16:34:00 UTC","2016-03-05 16:34:00 UTC",0,0,NA,NA,NA,NA
"dajohi/gominer",0,0,0,0,0,0,0,0,0,0,34,"2016-08-31 14:46:19 UTC","2018-10-05 16:33:28 UTC",66102429,1530.14881944444,12,31,842,631
"dajohi/insight",0,0,0,0,0,0,0,0,0,0,3,"2016-02-18 16:31:55 UTC","2017-02-28 17:26:24 UTC",32489669,752.075671296296,3,6,18,2
"girino/dcrdocs",0,0,0,0,0,0,0,0,0,0,1,"2016-07-04 04:11:06 UTC","2016-07-04 04:11:06 UTC",0,0,1,2,2,2
"jzbz/dcrwallet",0,0,0,0,0,0,0,0,0,0,1,"2016-11-16 22:22:51 UTC","2016-11-16 22:30:48 UTC",477,0.0110416666666667,1,2,2,2
"alexlyp/bitcore",0,0,0,0,0,0,0,0,0,0,3,"2016-06-08 14:36:25 UTC","2017-06-26 21:57:23 UTC",33117658,766.612453703704,4,321,4869,2513
"alexlyp/dcrutil",0,0,0,0,0,0,0,0,0,0,10,"2016-03-01 22:31:51 UTC","2017-05-19 17:08:14 UTC",38338583,887.467199074074,4,26,1411,1196
